feature_index,old_feature_name,old_feature_group,mean_abs_shap,feature_name,feature_group
298,genomic_feature_298,Other_basic,0.00038825,genomic_feature_201,Other_basic
342,genomic_feature_342,Other_basic,0.00038398,genomic_feature_108,Other_basic
244,genomic_feature_244,Other_basic,0.00038117,genomic_feature_100,Other_basic
192,genomic_feature_192,Other_basic,0.00037295,genomic_feature_295,Other_basic
215,genomic_feature_215,Other_basic,0.00037204,genomic_feature_18,Other_basic
264,genomic_feature_264,Other_basic,0.00036814,genomic_feature_280,Other_basic
293,genomic_feature_293,Other_basic,0.00036805,genomic_feature_93,Other_basic
207,genomic_feature_207,Other_basic,0.00036766,genomic_feature_245,Other_basic
90,genomic_feature_90,Other_basic,0.00036279,genomic_feature_242,Other_basic
147,genomic_feature_147,Other_basic,0.00036136,genomic_feature_293,Other_basic
209,genomic_feature_209,Other_basic,0.00035903,genomic_feature_267,Other_basic
159,genomic_feature_159,Other_basic,0.00035849,genomic_feature_87,Other_basic
224,genomic_feature_224,Other_basic,0.00035648,genomic_feature_157,Other_basic
176,genomic_feature_176,Other_basic,0.00035347,genomic_feature_311,Other_basic
350,genomic_feature_350,Other_basic,0.00035303,genomic_feature_75,Other_basic
295,genomic_feature_295,Other_basic,0.0003457,genomic_feature_308,Other_basic
113,genomic_feature_113,Other_basic,0.00034379,genomic_feature_53,Other_basic
267,genomic_feature_267,Other_basic,0.0003421,genomic_feature_63,Other_basic
308,genomic_feature_308,Other_basic,0.00034177,genomic_feature_127,Other_basic
319,genomic_feature_319,Other_basic,0.00033969,genomic_feature_52,Other_basic
139,genomic_feature_139,Other_basic,0.00033956,genomic_feature_3,Other_basic
134,genomic_feature_134,Other_basic,0.00033693,genomic_feature_43,Other_basic
230,genomic_feature_230,Other_basic,0.00033618,genomic_feature_244,Other_basic
119,genomic_feature_119,Other_basic,0.00033315,genomic_feature_200,Other_basic
141,genomic_feature_141,Other_basic,0.00033213,genomic_feature_19,Other_basic
333,genomic_feature_333,Other_basic,0.00032778,genomic_feature_255,Other_basic
222,genomic_feature_222,Other_basic,0.00032216,genomic_feature_333,Other_basic
210,genomic_feature_210,Other_basic,0.00031442,genomic_feature_271,Other_basic
240,genomic_feature_240,Other_basic,0.00031259,genomic_feature_72,Other_basic
196,genomic_feature_196,Other_basic,0.00029807,genomic_feature_169,Other_basic
305,genomic_feature_305,Other_basic,0.00029593,genomic_feature_90,Other_basic
256,genomic_feature_256,Other_basic,0.00029199,genomic_feature_210,Other_basic
348,genomic_feature_348,Other_basic,0.00028011,genomic_feature_202,Other_basic
300,genomic_feature_300,Other_basic,0.00027903,genomic_feature_97,Other_basic
126,genomic_feature_126,Other_basic,0.00027371,genomic_feature_107,Other_basic
40,genomic_feature_40,Other_basic,0.00027123,genomic_feature_51,Other_basic
204,genomic_feature_204,Other_basic,0.00025591,genomic_feature_4,Other_basic
152,genomic_feature_152,Other_basic,0.00024489,genomic_feature_231,Other_basic
346,genomic_feature_346,Other_basic,0.00024311,genomic_feature_32,Other_basic
208,genomic_feature_208,Other_basic,0.00023373,genomic_feature_177,Other_basic
314,genomic_feature_314,Other_basic,0.00022081,genomic_feature_297,Other_basic
288,genomic_feature_288,Other_basic,0.0002161,genomic_feature_40,Other_basic
0,genomic_feature_0,Other_basic,0.0,genomic_feature_320,Other_basic
