comparison,model_a,model_b,top_k,metric,model_a_value,model_b_value,delta
Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,150,enrichment_factor_at_k,1.61333,1.46667,0.14666
Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,150,ndcg_at_k,0.77846,0.73624,0.04222
Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,150,average_precision_at_k,0.77818,0.78512,-0.00694
Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,200,precision_at_k,0.815,0.75,0.065
Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,200,recall_at_k,0.18051,0.16611,0.0144
Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,200,enrichment_factor_at_k,1.63,1.5,0.13
Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,200,ndcg_at_k,0.79048,0.74861,0.04187
Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,200,average_precision_at_k,0.78799,0.77453,0.01346
Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,300,precision_at_k,0.77333,0.72,0.05333
Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,300,recall_at_k,0.25692,0.2392,0.01772
Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,300,enrichment_factor_at_k,1.54667,1.44,0.10667
Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,300,ndcg_at_k,0.76384,0.72577,0.03807
Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,300,average_precision_at_k,0.78912,0.76664,0.02248
Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,500,precision_at_k,0.734,0.664,0.07
Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,500,recall_at_k,0.40642,0.36766,0.03876
Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,500,enrichment_factor_at_k,1.468,1.328,0.14
Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,500,ndcg_at_k,0.73459,0.6781,0.05649
Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,500,average_precision_at_k,0.77445,0.7407,0.03375
