split_id,fusion_model,fusion_type,n_train,n_val,n_test,validation_mcc,selected_weight_protein,selected_weight_genomic,roc_auc,pr_auc,accuracy,precision,recall,specificity,f1,mcc,tn,fp,fn,tp,threshold,meta_feature_names
11,Early_fusion_Protein_DNABERT2Genomic,early_fusion,1155,289,362,0.39305,,,0.75395,0.74226,0.68232,0.65566,0.76796,0.59669,0.70738,0.37011,108,73,42,139,0.46028,
11,Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,1155,289,362,0.41226,0.35,0.65,0.73719,0.7318,0.68508,0.71069,0.62431,0.74586,0.66471,0.37293,135,46,68,113,0.51477,
11,Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,1155,289,362,0.4223,0.5,0.5,0.758,0.75042,0.66851,0.62762,0.82873,0.50829,0.71429,0.35578,92,89,31,150,0.43291,
11,Stacking_Protein_HandcraftedGenomic,stacking,1155,289,362,0.36691,,,0.7295,0.716,0.64917,0.6063,0.85083,0.44751,0.70805,0.32604,81,100,27,154,0.43044,protein_score; handcrafted_genomic_score
11,Stacking_Protein_DNABERT2Genomic,stacking,1155,289,362,0.38623,,,0.74662,0.73798,0.66022,0.616,0.85083,0.46961,0.71462,0.34662,85,96,27,154,0.42482,protein_score; dnabert2_genomic_score
11,Stacking_Protein_Handcrafted_DNABERT2,stacking,1155,289,362,0.39222,,,0.7494,0.74038,0.66851,0.62551,0.83978,0.49724,0.71698,0.35872,90,91,29,152,0.44156,protein_score; handcrafted_genomic_score; dnabert2_genomic_score
12,Protein_only,single_modality,1156,289,361,0.4066,,,0.69418,0.68779,0.63435,0.62903,0.65,0.61878,0.63934,0.26891,112,69,63,117,0.49015,
12,Handcrafted_genomic_only,single_modality,1156,289,361,0.26102,,,0.62195,0.62163,0.5928,0.6,0.55,0.63536,0.57391,0.18605,115,66,81,99,0.51395,
12,DNABERT2_genomic_only,single_modality,1156,289,361,0.33699,,,0.63984,0.61108,0.60111,0.58738,0.67222,0.53039,0.62694,0.20466,96,85,59,121,0.46615,
12,Early_fusion_Protein_HandcraftedGenomic,early_fusion,1156,289,361,0.42655,,,0.70169,0.6855,0.6482,0.64641,0.65,0.64641,0.6482,0.29641,117,64,63,117,0.51548,
12,Early_fusion_Protein_DNABERT2Genomic,early_fusion,1156,289,361,0.43141,,,0.70752,0.69207,0.65928,0.63134,0.76111,0.55801,0.69018,0.32585,101,80,43,137,0.44909,
12,Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,1156,289,361,0.45372,0.65,0.35,0.70301,0.69991,0.61773,0.63816,0.53889,0.69613,0.58434,0.23801,126,55,83,97,0.54551,
12,Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,1156,289,361,0.44163,0.4,0.6,0.70086,0.67089,0.65374,0.66871,0.60556,0.70166,0.63557,0.30867,127,54,71,109,0.53146,
12,Stacking_Protein_HandcraftedGenomic,stacking,1156,289,361,0.41563,,,0.70064,0.69701,0.63158,0.62983,0.63333,0.62983,0.63158,0.26317,114,67,66,114,0.49989,protein_score; handcrafted_genomic_score
12,Stacking_Protein_DNABERT2Genomic,stacking,1156,289,361,0.43253,,,0.70519,0.68877,0.64266,0.65269,0.60556,0.67956,0.62824,0.28591,123,58,71,109,0.51945,protein_score; dnabert2_genomic_score
12,Stacking_Protein_Handcrafted_DNABERT2,stacking,1156,289,361,0.43944,,,0.70617,0.68955,0.63712,0.64497,0.60556,0.66851,0.62464,0.27462,121,60,71,109,0.5192,protein_score; handcrafted_genomic_score; dnabert2_genomic_score
13,Protein_only,single_modality,1156,289,361,0.33076,,,0.68168,0.66942,0.61773,0.58077,0.83889,0.39779,0.68636,0.26363,72,109,29,151,0.37428,
13,Handcrafted_genomic_only,single_modality,1156,289,361,0.3357,,,0.6624,0.68386,0.62327,0.61702,0.64444,0.60221,0.63043,0.24687,109,72,64,116,0.48896,
13,DNABERT2_genomic_only,single_modality,1156,289,361,0.337,,,0.67133,0.66487,0.63989,0.65625,0.58333,0.69613,0.61765,0.28128,126,55,75,105,0.50235,
13,Early_fusion_Protein_HandcraftedGenomic,early_fusion,1156,289,361,0.40049,,,0.69856,0.70526,0.61496,0.63057,0.55,0.67956,0.58754,0.23153,123,58,81,99,0.54027,
13,Early_fusion_Protein_DNABERT2Genomic,early_fusion,1156,289,361,0.47611,,,0.7033,0.69512,0.6205,0.63354,0.56667,0.67403,0.59824,0.24212,122,59,78,102,0.51262,
13,Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,1156,289,361,0.47007,0.35,0.65,0.71811,0.71225,0.66205,0.69079,0.58333,0.74033,0.63253,0.32778,134,47,75,105,0.52304,
